"date","number","category","rank","songId"
"2026-09-20","36","national","1","nohepodidoolvidarte-8a65d99de0"
"2026-09-20","36","national","2","elchiquitico-b9b4ac9465"
"2026-09-20","36","national","3","eldoctorado-76d58b8d11"
"2026-09-20","36","national","4","cogelosuave-2141857326"
"2026-09-20","36","national","5","vuelvoaseryo-7603b2a16b"
"2026-09-20","36","national","6","mikaela-d705860dec"
"2026-09-20","36","national","7","namore-a9143f5cf2"
"2026-09-20","36","national","8","mediovampiro-ebd6d6fdcc"
"2026-09-20","36","national","9","comopami-6b3cbe42fe"
"2026-09-20","36","national","10","sinofueraporti-650a0054d2"
"2026-09-20","36","international","1","savemetonight-57c69ff712"
"2026-09-20","36","international","2","bringyourlove-3e36d7d001"
"2026-09-20","36","international","3","patitoa3-d542f2e175"
"2026-09-20","36","international","4","efectossecundarios-be86986c97"
"2026-09-20","36","international","5","antesqueeltiemposevaya-581f5f1a29"
"2026-09-20","36","international","6","asi-e5c7638841"
"2026-09-20","36","international","7","unanamas-dacddd8a79"
"2026-09-20","36","international","8","dlejitos-f223412b49"
"2026-09-20","36","international","9","tehacenfaltados-39cb9c7329"
"2026-09-20","36","international","10","sorrypapi-02df82987d"
